Partlist
--------

Part     Value          Device       Package

C1       100uF          CPOL-EUSMCD  SMC_D
C2       100nF          C-EUC0805    C0805
C3       100nF          C-EUC0805    C0805
C4       100nF          C-EUC0805    C0805
C5       100nF          C-EUC0805    C0805
IC1      EPM240T100C4   EPM240T100C4 TQFP100
CN1      YM5214         YM5214       DIL40
R1       330            R-EU_R0805   R0805
R2       330            R-EU_R0805   R0805
R3       330            R-EU_R0805   R0805
R4       330            R-EU_R0805   R0805
R5       330            R-EU_R0805   R0805
R6       330            R-EU_R0805   R0805
R7       330            R-EU_R0805   R0805
R8       330            R-EU_R0805   R0805
R9       10k            R-EU_R0805   R0805
R10      10k            R-EU_R0805   R0805
R11      10k            R-EU_R0805   R0805
R12      10k            R-EU_R0805   R0805
R13      10k            R-EU_R0805   R0805
R14      10k            R-EU_R0805   R0805
R15      10k            R-EU_R0805   R0805
R16      10k            R-EU_R0805   R0805
R17      10k            R-EU_R0805   R0805
R18      10k            R-EU_R0805   R0805
R19      10k            R-EU_R0805   R0805
R20      10k            R-EU_R0805   R0805
R21      10k            R-EU_R0805   R0805
R22      10k            R-EU_R0805   R0805
R23      10k            R-EU_R0805   R0805
R24      10k            R-EU_R0805   R0805
R25      330            R-EU_R0805   R0805
R26      330            R-EU_R0805   R0805
R27      330            R-EU_R0805   R0805
R28      330            R-EU_R0805   R0805
R29      330            R-EU_R0805   R0805
R30      330            R-EU_R0805   R0805
R31      330            R-EU_R0805   R0805
R32      330            R-EU_R0805   R0805
R33      330            R-EU_R0805   R0805
R34      330            R-EU_R0805   R0805
R35      330            R-EU_R0805   R0805
R36      330            R-EU_R0805   R0805
R37      330            R-EU_R0805   R0805
R38      330            R-EU_R0805   R0805
R39      10k            R-EU_R0805   R0805
R40      10k            R-EU_R0805   R0805
R41      10k            R-EU_R0805   R0805
U1       REG1117-3.3    REG1117-3.3  SOT230P700X180-4N
X1       JTAG10         JTAG10       JTAG
